Designator,Mid X,Mid Y,Rotation,Layer
C1,255.7695,-86.77895,90.0,bottom
C10,256.568,-62.7557,180.0,bottom
C2,249.2375,-66.5657,90.0,bottom
C3,248.0945,-66.5657,90.0,bottom
C4,256.568,-63.8987,0.0,bottom
C5,261.747,-73.6777,180.0,bottom
C6,266.446,-73.6777,180.0,bottom
C7,268.605,-71.0107,270.0,bottom
C8,265.557,-61.3587,0.0,bottom
C9,243.0145,-66.1847,270.0,bottom
D1,65.0875,-58.6917,90.0,bottom
D10,106.3625,-115.8417,90.0,bottom
D11,122.2375,-51.54795,90.0,bottom
D12,122.2375,-70.59795,90.0,bottom
D13,122.2375,-92.0292,90.0,bottom
D14,122.2375,-113.46045,90.0,bottom
D15,141.2875,-53.9292,90.0,bottom
D16,141.2875,-75.36045,90.0,bottom
D17,141.2875,-94.41045,90.0,bottom
D18,143.66875,-102.34795,90.0,bottom
D19,160.3375,-53.9292,90.0,bottom
D2,65.0875,-84.88545,90.0,bottom
D20,160.3375,-75.36045,90.0,bottom
D21,160.3375,-94.41045,90.0,bottom
D22,160.3375,-113.46045,90.0,bottom
D23,179.3875,-53.9292,90.0,bottom
D24,179.3875,-75.36045,90.0,bottom
D25,179.3875,-94.41045,90.0,bottom
D26,181.76875,-102.34795,90.0,bottom
D27,198.4375,-53.9292,90.0,bottom
D28,198.4375,-75.36045,90.0,bottom
D29,198.4375,-94.41045,90.0,bottom
D3,65.0875,-108.69795,90.0,bottom
D30,198.4375,-113.46045,90.0,bottom
D31,217.4875,-51.54795,90.0,bottom
D32,217.4875,-70.59795,90.0,bottom
D33,217.4875,-92.0292,90.0,bottom
D34,217.4875,-113.46045,90.0,bottom
D35,236.5375,-53.9292,90.0,bottom
D36,236.5375,-75.36045,90.0,bottom
D37,239.7125,-95.99795,90.0,bottom
D38,239.7125,-108.69795,90.0,bottom
D39,255.5875,-56.31045,90.0,bottom
D4,84.1375,-56.31045,90.0,bottom
D40,255.5875,-80.12295,90.0,bottom
D41,255.5875,-106.3167,90.0,bottom
D42,273.05,-61.8667,90.0,bottom
D43,273.05,-88.06045,90.0,bottom
D44,273.05,-95.2042,90.0,bottom
D5,84.1375,-80.12295,90.0,bottom
D6,84.1375,-106.3167,90.0,bottom
D7,103.1875,-53.9292,90.0,bottom
D8,103.1875,-75.36045,90.0,bottom
D9,104.775,-102.34795,90.0,bottom
F1,158.75,-62.6317,270.0,bottom
H2_7,271.4625,-116.63545,0.0,top
H2_6,220.6625,-62.66045,0.0,top
H2_5,103.1875,-62.66045,0.0,top
H2_4,52.3875,-116.63545,0.0,top
H2_3,161.925,-102.34795,0.0,top
H2_2,271.4625,-45.19795,0.0,top
H2,52.3875,-45.19795,0.0,top
J1,161.925,-37.26045,180.0,bottom
MX00,57.15,-57.1042,0.0,top
MX01,95.25,-52.3417,0.0,top
MX02,133.35,-52.3417,0.0,top
MX03,171.45,-52.3417,0.0,top
MX04,209.55,-49.96045,0.0,top
MX05,247.65,-54.72295,0.0,top
MX10,57.15,-83.29795,0.0,top
MX11,95.25,-73.77295,0.0,top
MX12,133.35,-73.77295,0.0,top
MX13,171.45,-73.77295,0.0,top
MX14,209.55,-69.01045,0.0,top
MX15,247.65,-78.53545,0.0,top
MX20,57.15,-107.11045,0.0,top
MX21,95.25,-92.82295,270.0,top
MX21.2,95.25,-102.34795,0.0,top
MX22,133.35,-92.82295,0.0,top
MX23,171.45,-92.82295,0.0,top
MX24,209.55,-90.4417,0.0,top
MX25,247.65,-104.7292,0.0,top
MX31,95.25,-111.87295,0.0,top
MX32,133.35,-111.87295,0.0,top
MX33,171.45,-111.87295,0.0,top
MX33.2,180.975,-111.87295,180.0,top
MX34,209.55,-111.87295,0.0,top
MX40,76.2,-54.72295,0.0,top
MX41,114.3,-49.96045,0.0,top
MX42,152.4,-52.3417,0.0,top
MX43,190.5,-52.3417,0.0,top
MX44,228.6,-52.3417,0.0,top
MX45,266.7,-57.1042,0.0,top
MX50,76.2,-78.53545,0.0,top
MX51,114.3,-69.01045,0.0,top
MX52,152.4,-73.77295,0.0,top
MX53,190.5,-73.77295,0.0,top
MX54,228.6,-73.77295,0.0,top
MX55,266.7,-83.29795,0.0,top
MX60,76.2,-104.7292,0.0,top
MX61,114.3,-90.4417,0.0,top
MX62,152.4,-92.82295,0.0,top
MX63,190.5,-92.82295,0.0,top
MX64,228.6,-92.82295,270.0,top
MX64.2,228.6,-102.34795,0.0,top
MX65,266.7,-107.11045,0.0,top
MX71,114.3,-111.87295,0.0,top
MX72,152.4,-111.87295,0.0,top
MX72.2,142.875,-111.87295,180.0,top
MX73,190.5,-111.87295,0.0,top
MX74,228.6,-111.87295,0.0,top
R1,248.1495,-86.27095,0.0,bottom
R2,156.21,-43.0727,90.0,bottom
R3,167.64,-43.0707,90.0,bottom
SW1,252.15,-91.16045,270.0,bottom
SW2,246.2445,-91.16045,270.0,bottom
U1,161.798,-61.3617,90.0,bottom
U2,262.763,-67.2007,90.0,bottom
U3,245.5545,-66.4387,0.0,bottom
